,category,site,accuracy,precision,recall,f1
0,auto,aol,0.7398373923590456,0.7398373923590456,0.9999999890109892,0.8504667929516304
1,auto,autobytel,0.7987421333412444,0.9999999921259843,0.7987421333412444,0.8881113881610647
2,auto,automotive,0.47843137067281816,0.48995983738971954,0.953124992553711,0.6472144021842418
3,auto,autoweb,0.6666666631944445,0.9999999921875001,0.6666666631944445,0.7999995150002879
4,auto,carquotes,0.59999999625,0.749999994140625,0.749999994140625,0.7499994941409583
5,auto,cars,0.9675324612497892,0.9802631514456371,0.9867549603526162,0.9834978433489456
6,auto,kbb,0.7999999950000001,0.9999999921875001,0.7999999950000001,0.8888883888891632
7,auto,motortrend,0.7560975563652588,0.9687499924316407,0.7749999951562501,0.8611106113042956
8,auto,msn,0.706161134094023,0.9933333267111112,0.7095238061451248,0.8277772870681867
9,auto,yahoo,0.59999999625,0.749999994140625,0.749999994140625,0.7499994941409583
10,book,abebooks,0.5864527618779808,0.6326923064755917,0.8891891867859751,0.7393253552382942
11,book,amazon,0.5838150255270808,0.9266054960861881,0.6121212084113866,0.7372257928768629
12,book,barnesandnoble,0.9374999954927885,0.974999995125,0.9605911282729501,0.9677414307091476
13,book,bookdepository,0.9698795122296415,0.9698795122296415,0.99999999378882,0.9847089742167902
14,book,booksamillion,0.626436778008984,0.9999999908256881,0.626436778008984,0.7703175421346664
15,book,borders,0.9819277049281464,0.9819277049281464,0.9999999938650307,0.9908809529847961
16,book,buy,0.8023952047760766,0.9925925852400549,0.8072289107998258,0.8903649478926822
17,book,christianbook,0.8388888842283951,0.9151515096051424,0.9096385487371171,0.9123862014405676
18,book,deepdiscount,0.9999999968152866,0.9999999968152866,0.9999999968152866,0.9999994968155366
19,book,waterstones,0.6279069730935641,0.9999999907407409,0.6279069730935641,0.7714280920411071
20,camera,amazon,0.6620689609512486,0.9230769142011835,0.7007299218924823,0.7966800006889955
21,camera,beachaudio,0.3296089367060953,0.686046503650622,0.38815789218317176,0.49579785361246215
22,camera,buy,0.5039370039060078,0.9999999843750003,0.5039370039060078,0.6701566154439509
23,camera,compsource,0.07556270084314679,0.09475806432508455,0.27167629900765145,0.1405078373595287
24,camera,ecost,0.9999999895833335,0.9999999895833335,0.9999999895833335,0.9999994895835835
25,camera,jr,0.34042552829334544,0.9999999687500011,0.34042552829334544,0.5079361209375428
26,camera,newegg,0.08235294111591694,0.08314773564725483,0.895999992832,0.15217375742221737
27,camera,onsale,0.9999999895833335,0.9999999895833335,0.9999999895833335,0.9999994895835835
28,camera,pcnation,0.3422459874746204,0.6666666597222223,0.41290322314255984,0.5099596829261049
29,camera,thenerds,0.29090908958677686,0.6666666597222223,0.3404255301041195,0.450703774648331
30,job,careerbuilder,0.6354166600477431,0.9999999836065577,0.6354166600477431,0.7770695786444543
31,job,dice,0.99999999375,0.99999999375,0.99999999375,0.99999949375025
32,job,hotjobs,0.4444444421997755,0.6984126928697405,0.5499999965625,0.6153841181479814
33,job,job,0.8152866190109133,0.9999999921875001,0.8152866190109133,0.8982451129088599
34,job,jobcircle,0.24999999804687503,0.9999999687500011,0.24999999804687503,0.3999996750002516
35,job,jobtarget,0.59999999625,0.749999994140625,0.749999994140625,0.7499994941409583
36,job,monster,0.9999999895833335,0.9999999895833335,0.9999999895833335,0.9999994895835835
37,job,nettemps,0.43537414669813507,0.771084328059225,0.49999999609375007,0.6066345880824039
38,job,rightitjobs,0.9999999921875001,0.9999999921875001,0.9999999921875001,0.9999994921877502
39,job,techcentric,0.0,0.0,0.0,0.0
40,movie,allmovie,0.310256409460881,0.32880434693259686,0.8461538402366865,0.4735808083918543
41,movie,amctv,0.5889570516014905,0.7384615327810652,0.7441860407427439,0.7413122355961097
42,movie,boxofficemojo,0.8896551662782403,0.9626865599799511,0.9214285648469388,0.9416053327830454
43,movie,hollywood,0.805882348200692,0.99999999270073,0.805882348200692,0.8925076432856135
44,movie,iheartmovies,0.9766081814233439,0.9999999940119761,0.9766081814233439,0.9881651746965171
45,movie,imdb,0.5297805626025688,0.5559210508028913,0.9184782558778356,0.6926224782151801
46,movie,metacritic,0.9999999921259843,0.9999999921259843,0.9999999921259843,0.9999994921262343
47,movie,msn,0.999999993150685,0.999999993150685,0.999999993150685,0.999999493150935
48,movie,rottentomatoes,0.8476190435827665,0.9999999943820225,0.8476190435827665,0.9175252718676299
49,movie,yahoo,0.7142857089151451,0.9999999894736844,0.7142857089151451,0.8333328399125641
50,nbaplayer,espn,0.9999999921875001,0.9999999921875001,0.9999999921875001,0.9999994921877502
51,nbaplayer,fanhouse,0.7218045058510939,0.9999999895833335,0.7218045058510939,0.8384274533287852
52,nbaplayer,foxsports,0.6357615851936319,0.8067226822964481,0.749999994140625,0.777327429592676
53,nbaplayer,msnca,0.9999999921875001,0.9999999921875001,0.9999999921875001,0.9999994921877502
54,nbaplayer,nba,0.9999999895833335,0.9999999895833335,0.9999999895833335,0.9999994895835835
55,nbaplayer,si,0.9999999921875001,0.9999999921875001,0.9999999921875001,0.9999994921877502
56,nbaplayer,slam,0.9999999921875001,0.9999999921875001,0.9999999921875001,0.9999994921877502
57,nbaplayer,usatoday,0.749999994140625,0.9999999895833335,0.749999994140625,0.8571423596941573
58,nbaplayer,wiki,0.5398772973013662,0.7154471486549012,0.6874999946289063,0.7011947137350589
59,nbaplayer,yahoo,0.749999994140625,0.9999999895833335,0.749999994140625,0.8571423596941573
60,restaurant,fodors,0.9999999922480621,0.9999999922480621,0.9999999922480621,0.9999994922483122
61,restaurant,frommers,0.9999999921875001,0.9999999921875001,0.9999999921875001,0.9999994921877502
62,restaurant,gayot,0.7768595009220682,0.9999999946808511,0.7768595009220682,0.8744181084697199
63,restaurant,opentable,0.99999999378882,0.99999999378882,0.99999999378882,0.9999994937890698
64,restaurant,pickarestaurant,0.7999999950000001,0.9999999921875001,0.7999999950000001,0.8888883888891632
65,restaurant,restaurantica,0.9827586164536266,0.9827586164536266,0.9999999956140351,0.9913038435541274
66,restaurant,tripadvisor,0.6284584955396898,0.9999999937106919,0.6284584955396898,0.7718441824750766
67,restaurant,urbanspoon,0.9755102000999584,0.9999999958158996,0.9755102000999584,0.9876028017812106
68,restaurant,usdiners,0.5889570516014905,0.9795918267388589,0.5962732882219051,0.7413122651722546
69,restaurant,zagat,0.9819819775586398,0.9999999954128441,0.9819819775586398,0.9909085864465332
70,university,collegeboard,0.9905213223198042,0.999999995215311,0.9905213223198042,0.9952375905104552
71,university,collegenavigator,0.9999999921875001,0.9999999921875001,0.9999999921875001,0.9999994921877502
72,university,collegeprowler,0.99999999375,0.99999999375,0.99999999375,0.99999949375025
73,university,collegetoolkit,0.9999999895833335,0.9999999895833335,0.9999999895833335,0.9999994895835835
74,university,ecampustours,0.9999999921875001,0.9999999921875001,0.9999999921875001,0.9999994921877502
75,university,embark,0.9999999921875001,0.9999999921875001,0.9999999921875001,0.9999994921877502
76,university,matchcollege,0.5647058790311419,0.9999999895833335,0.5647058790311419,0.7218040445477532
77,university,princetonreview,0.9999999895833335,0.9999999895833335,0.9999999895833335,0.9999994895835835
78,university,studentaid,0.16569767417776501,0.18874172154181834,0.5757575728497092,0.28428890423615594
79,university,usnews,0.59999999625,0.749999994140625,0.749999994140625,0.7499994941409583
80,overall,overall,0.6312309256974039,0.7484357330758812,0.8012266967313997,0.7739315242184008
